"transactions_id","sale_date","sale_time","customer_id","gender","age","category","quantiy","price_per_unit","cogs","total_sale"
522,"2022-07-09","11:00:00",52,"Male",46,"Beauty",3,"500","145","1500"
559,"2022-12-12","10:48:00",5,"Female",40,"Clothing",4,"300","84","1200"
1522,"2022-11-14","08:35:00",48,"Male",46,"Beauty",3,"500","235","1500"
1559,"2022-08-20","07:40:00",49,"Female",40,"Clothing",4,"300","144","1200"
421,"2022-04-08","08:43:00",66,"Female",37,"Clothing",3,"500","235","1500"
1421,"2022-01-17","07:07:00",59,"Female",37,"Clothing",3,"500","185","1500"
484,"2022-03-13","07:52:00",135,"Female",19,"Clothing",4,"300","75","1200"
1484,"2022-11-23","09:29:00",22,"Female",19,"Clothing",4,"300","147","1200"
15,"2022-07-01","11:50:00",75,"Female",42,"Electronics",4,"500","210","2000"
743,"2022-08-07","07:54:00",55,"Female",34,"Beauty",4,"500","260","2000"
1015,"2022-03-09","11:53:00",94,"Female",42,"Electronics",4,"500","200","2000"
1743,"2022-10-26","09:37:00",47,"Female",34,"Beauty",4,"500","250","2000"
742,"2022-03-19","06:08:00",37,"Female",38,"Electronics",4,"500","195","2000"
1742,"2022-11-22","08:25:00",18,"Female",38,"Electronics",4,"500","220","2000"
420,"2022-01-02","10:53:00",28,"Female",22,"Clothing",4,"500","200","2000"
1420,"2022-04-15","07:01:00",138,"Female",22,"Clothing",4,"500","205","2000"
592,"2022-12-26","09:15:00",77,"Female",46,"Beauty",4,"500","275","2000"
1592,"2022-03-16","09:08:00",81,"Female",46,"Beauty",4,"500","155","2000"
720,"2022-04-08","08:50:00",116,"Female",56,"Beauty",3,"500","235","1500"
1720,"2022-10-10","08:51:00",28,"Female",56,"Beauty",3,"500","190","1500"
269,"2022-09-19","11:31:00",87,"Male",25,"Clothing",4,"500","250","2000"
320,"2022-04-20","08:35:00",57,"Female",28,"Electronics",4,"300","159","1200"
673,"2022-07-04","10:14:00",18,"Female",43,"Clothing",3,"500","270","1500"
1269,"2022-01-01","08:09:00",71,"Male",25,"Clothing",4,"500","145","2000"
1320,"2022-11-02","11:55:00",102,"Female",28,"Electronics",4,"300","84","1200"
1673,"2022-06-14","07:36:00",42,"Female",43,"Clothing",3,"500","185","1500"
142,"2022-04-08","10:05:00",61,"Male",35,"Electronics",4,"300","138","1200"
1142,"2022-11-09","09:49:00",2,"Male",35,"Electronics",4,"300","114","1200"
107,"2022-10-06","09:18:00",75,"Female",21,"Clothing",4,"300","78","1200"
1107,"2022-12-31","11:14:00",62,"Female",21,"Clothing",4,"300","102","1200"
333,"2022-10-06","08:15:00",21,"Female",54,"Electronics",4,"300","99","1200"
1333,"2022-11-01","11:38:00",151,"Female",54,"Electronics",4,"300","165","1200"
372,"2022-06-19","11:45:00",27,"Female",24,"Beauty",3,"500","140","1500"
1372,"2022-03-18","10:53:00",60,"Female",24,"Beauty",3,"500","145","1500"
54,"2022-10-20","10:17:00",142,"Female",38,"Electronics",3,"500","200","1500"
1054,"2022-01-10","09:24:00",49,"Female",38,"Electronics",3,"500","140","1500"
193,"2022-03-27","10:40:00",55,"Male",35,"Beauty",3,"500","180","1500"
577,"2022-04-21","11:55:00",45,"Male",21,"Beauty",4,"500","215","2000"
1193,"2022-05-11","11:31:00",50,"Male",35,"Beauty",3,"500","145","1500"
1577,"2022-09-11","06:22:00",145,"Male",21,"Beauty",4,"500","160","2000"
16,"2022-06-25","10:33:00",82,"Male",19,"Clothing",3,"500","180","1500"
292,"2022-10-10","06:33:00",111,"Male",20,"Beauty",4,"300","141","1200"
416,"2022-08-21","09:29:00",55,"Male",53,"Electronics",4,"500","245","2000"
1016,"2022-12-12","07:39:00",52,"Male",19,"Clothing",3,"500","200","1500"
1292,"2022-05-15","08:20:00",88,"Male",20,"Beauty",4,"300","90","1200"
1416,"2022-12-29","10:47:00",111,"Male",53,"Electronics",4,"500","125","2000"
257,"2022-12-10","08:49:00",130,"Male",19,"Beauty",4,"500","165","2000"
1257,"2022-05-10","11:55:00",29,"Male",19,"Beauty",4,"500","255","2000"
611,"2022-07-21","08:13:00",11,"Male",51,"Beauty",3,"500","180","1500"
800,"2022-09-19","07:33:00",111,"Male",32,"Clothing",4,"300","87","1200"
1611,"2022-11-17","07:30:00",125,"Male",51,"Beauty",3,"500","180","1500"
1800,"2022-08-21","10:53:00",1,"Male",32,"Clothing",4,"300","111","1200"
506,"2022-04-29","07:13:00",9,"Male",34,"Beauty",3,"500","200","1500"
1506,"2022-01-09","07:31:00",52,"Male",34,"Beauty",3,"500","245","1500"
152,"2022-06-16","11:58:00",120,"Male",43,"Electronics",4,"500","210","2000"
1152,"2022-12-26","07:48:00",87,"Male",43,"Electronics",4,"500","170","2000"
547,"2022-11-14","07:36:00",3,"Male",63,"Clothing",4,"500","250","2000"
1547,"2022-08-11","06:39:00",142,"Male",63,"Clothing",4,"500","235","2000"
942,"2023-12-01","09:22:00",35,"Male",51,"Clothing",3,"500","160","1500"
1942,"2023-09-16","11:53:00",112,"Male",51,"Clothing",3,"500","265","1500"
663,"2023-08-16","06:32:00",133,"Male",23,"Clothing",4,"300","87","1200"
1663,"2023-12-07","07:04:00",33,"Male",23,"Clothing",4,"300","81","1200"
313,"2023-12-16","10:03:00",11,"Female",55,"Beauty",3,"500","140","1500"
459,"2023-05-23","07:12:00",122,"Male",28,"Clothing",4,"300","75","1200"
1313,"2023-06-04","09:22:00",10,"Female",55,"Beauty",3,"500","170","1500"
1459,"2023-11-10","06:46:00",13,"Male",28,"Clothing",4,"300","144","1200"
636,"2023-05-09","06:15:00",60,"Female",21,"Beauty",3,"500","230","1500"
1636,"2023-07-22","11:26:00",50,"Female",21,"Beauty",3,"500","150","1500"
202,"2023-01-25","06:24:00",61,"Female",34,"Clothing",4,"300","120","1200"
1202,"2023-11-13","06:56:00",89,"Female",34,"Clothing",4,"300","144","1200"
553,"2023-03-20","06:17:00",106,"Male",24,"Clothing",4,"300","81","1200"
1553,"2023-01-29","08:46:00",42,"Male",24,"Clothing",4,"300","99","1200"
462,"2023-08-26","10:04:00",71,"Male",63,"Electronics",4,"300","132","1200"
614,"2023-02-13","06:28:00",61,"Female",39,"Beauty",4,"300","120","1200"
808,"2023-11-22","07:18:00",30,"Male",33,"Beauty",4,"500","195","2000"
1462,"2023-11-13","10:42:00",124,"Male",63,"Electronics",4,"300","114","1200"
1614,"2023-08-23","11:37:00",135,"Female",39,"Beauty",4,"300","105","1200"
1808,"2023-02-12","10:48:00",109,"Male",33,"Beauty",4,"500","210","2000"
166,"2023-01-28","11:42:00",32,"Male",34,"Clothing",4,"500","225","2000"
1166,"2023-07-19","07:45:00",65,"Male",34,"Clothing",4,"500","245","2000"
280,"2023-11-17","09:35:00",76,"Female",37,"Clothing",3,"500","240","1500"
1280,"2023-08-24","09:15:00",116,"Female",37,"Clothing",3,"500","255","1500"
928,"2023-11-05","10:20:00",54,"Female",35,"Clothing",4,"300","90","1200"
1928,"2023-07-29","06:39:00",93,"Female",35,"Clothing",4,"300","75","1200"
332,"2023-04-24","11:28:00",138,"Male",58,"Electronics",4,"300","105","1200"
1332,"2023-12-04","10:02:00",146,"Male",58,"Electronics",4,"300","123","1200"
847,"2023-01-10","08:42:00",2,"Female",18,"Electronics",4,"300","162","1200"
1847,"2023-07-28","07:14:00",5,"Female",18,"Electronics",4,"300","123","1200"
111,"2023-04-15","09:45:00",5,"Female",34,"Electronics",3,"500","130","1500"
1111,"2023-04-30","21:34:00",2,"Female",34,"Electronics",3,"500","185","1500"
298,"2023-10-05","19:05:00",3,"Male",27,"Beauty",4,"300","84","1200"
572,"2023-12-13","18:33:00",5,"Male",31,"Clothing",4,"500","185","2000"
1298,"2023-05-02","19:51:00",1,"Male",27,"Beauty",4,"300","120","1200"
1572,"2023-06-18","22:20:00",1,"Male",31,"Clothing",4,"500","175","2000"
693,"2023-06-08","17:12:00",1,"Male",41,"Beauty",3,"500","270","1500"
1693,"2023-02-20","18:21:00",1,"Male",41,"Beauty",3,"500","130","1500"
482,"2023-08-12","18:57:00",3,"Female",28,"Clothing",4,"300","141","1200"
1482,"2023-02-10","22:22:00",1,"Female",28,"Clothing",4,"300","114","1200"
452,"2023-01-30","22:41:00",4,"Female",48,"Clothing",3,"500","240","1500"
946,"2023-08-08","20:15:00",2,"Male",62,"Electronics",4,"500","235","2000"
1452,"2023-08-06","17:41:00",3,"Female",48,"Clothing",3,"500","185","1500"
1946,"2023-07-27","20:48:00",5,"Male",62,"Electronics",4,"500","165","2000"
731,"2023-09-30","18:49:00",1,"Male",54,"Clothing",4,"500","165","2000"
1731,"2023-12-19","17:41:00",3,"Male",54,"Clothing",4,"500","195","2000"
164,"2023-02-28","18:26:00",3,"Female",47,"Beauty",3,"500","185","1500"
1164,"2023-04-07","20:53:00",1,"Female",47,"Beauty",3,"500","245","1500"
118,"2023-03-13","20:07:00",3,"Female",30,"Electronics",4,"500","270","2000"
970,"2023-05-25","18:13:00",2,"Male",59,"Electronics",4,"500","220","2000"
1118,"2023-10-13","17:24:00",1,"Female",30,"Electronics",4,"500","170","2000"
1970,"2023-05-22","17:44:00",5,"Male",59,"Electronics",4,"500","230","2000"
155,"2023-07-18","18:05:00",3,"Male",31,"Electronics",4,"500","150","2000"
1155,"2023-12-03","18:22:00",3,"Male",31,"Electronics",4,"500","255","2000"
647,"2023-03-01","19:53:00",5,"Male",59,"Clothing",3,"500","190","1500"
1647,"2023-05-01","20:26:00",5,"Male",59,"Clothing",3,"500","240","1500"
843,"2023-01-25","22:46:00",3,"Male",21,"Beauty",3,"500","180","1500"
1843,"2023-09-21","18:58:00",1,"Male",21,"Beauty",3,"500","240","1500"
31,"2023-12-31","17:47:00",3,"Male",44,"Electronics",4,"300","129","1200"
72,"2023-12-06","19:19:00",5,"Female",20,"Electronics",4,"500","195","2000"
281,"2023-09-18","20:09:00",4,"Female",29,"Beauty",4,"500","275","2000"
729,"2023-08-26","22:29:00",3,"Male",29,"Clothing",4,"300","84","1200"
1031,"2023-11-12","21:15:00",3,"Male",44,"Electronics",4,"300","126","1200"
1072,"2023-02-24","18:10:00",4,"Female",20,"Electronics",4,"500","180","2000"
1281,"2023-03-14","19:34:00",4,"Female",29,"Beauty",4,"500","165","2000"
